HOME_TEAM,AWAY_TEAM,HOME_PTS,AWAY_PTS,WL,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,SEASON,OE_OFF_RATING,OOFF_RATING,OE_DEF_RATING,ODEF_RATING,OE_NET_RATING,ONET_RATING,OAST_PCT,OAST_TO,OAST_RATIO,OOREB_PCT,ODREB_PCT,OREB_PCT_AWAY,OTM_TOV_PCT,OEFG_PCT,OTS_PCT,OE_PACE,OPACE,OPACE_PER40,OPOSS,OPIE,OSEASON
Miami Heat,Los Angeles Lakers,93,106,L,98.2,100.0,109.1,112.8,-10.9,-12.8,0.714,1.67,19.5,0.229,0.68,0.459,0.161,0.506,0.524,95.9,93.5,77.92,93,0.456,2019-20,109.1,112.8,98.2,100.0,10.9,12.8,0.535,1.64,17.4,0.32,0.771,0.541,0.149,0.545,0.557,95.9,93.5,77.92,94,0.544,2019-20
Los Angeles Lakers,Miami Heat,108,111,L,114.6,114.9,114.8,119.4,-0.2,-4.5,0.553,1.4,16.3,0.333,0.733,0.533,0.16,0.549,0.592,95.5,93.5,77.92,94,0.488,2019-20,114.8,119.4,114.6,114.9,0.2,4.5,0.684,2.0,19.8,0.267,0.667,0.467,0.14,0.542,0.599,95.5,93.5,77.92,93,0.512,2019-20
Miami Heat,Los Angeles Lakers,96,102,L,101.7,104.3,109.4,110.9,-7.7,-6.5,0.563,1.2,15.1,0.217,0.711,0.462,0.163,0.5,0.555,93.8,92.0,76.67,92,0.441,2019-20,109.4,110.9,101.7,104.3,7.7,6.5,0.714,1.67,19.2,0.289,0.783,0.538,0.163,0.532,0.578,93.8,92.0,76.67,92,0.559,2019-20
Miami Heat,Los Angeles Lakers,115,104,W,114.9,116.2,103.2,104.0,11.6,12.2,0.61,1.92,19.2,0.154,0.729,0.471,0.131,0.588,0.638,100.4,99.5,82.92,99,0.576,2019-20,103.2,104.0,114.9,116.2,-11.6,-12.2,0.676,1.15,16.9,0.271,0.846,0.529,0.2,0.519,0.567,100.4,99.5,82.92,100,0.424,2019-20
Los Angeles Lakers,Miami Heat,124,114,W,127.2,134.8,126.7,125.3,0.5,9.5,0.653,3.56,22.2,0.407,0.806,0.567,0.098,0.588,0.593,93.7,91.5,76.25,92,0.502,2019-20,126.7,125.3,127.2,134.8,-0.5,-9.5,0.806,2.9,23.0,0.194,0.593,0.433,0.11,0.585,0.663,93.7,91.5,76.25,91,0.498,2019-20
Los Angeles Lakers,Miami Heat,116,98,W,117.3,118.4,99.8,101.0,17.5,17.3,0.684,2.17,19.0,0.304,0.868,0.606,0.122,0.542,0.605,98.5,97.5,81.25,98,0.595,2019-20,99.8,101.0,117.3,118.4,-17.5,-17.3,0.605,2.88,18.3,0.132,0.696,0.394,0.082,0.489,0.515,98.5,97.5,81.25,97,0.405,2019-20
Miami Heat,Boston Celtics,125,113,W,123.2,123.8,110.1,111.9,13.1,11.9,0.667,2.5,22.1,0.139,0.724,0.5,0.119,0.644,0.684,102.0,101.0,84.17,101,0.597,2019-20,110.1,111.9,123.2,123.8,-13.1,-11.9,0.605,2.6,18.2,0.276,0.861,0.5,0.099,0.51,0.535,102.0,101.0,84.17,101,0.403,2019-20
Los Angeles Lakers,Denver Nuggets,117,107,W,118.5,118.2,103.4,107.0,15.0,11.2,0.571,1.71,18.6,0.158,0.741,0.5,0.141,0.604,0.652,101.1,99.5,82.92,99,0.593,2019-20,103.4,107.0,118.5,118.2,-15.0,-11.2,0.605,2.09,16.8,0.259,0.842,0.5,0.11,0.467,0.527,101.1,99.5,82.92,100,0.407,2019-20
Boston Celtics,Miami Heat,121,108,W,116.6,118.6,102.1,108.0,14.5,10.6,0.69,2.64,19.7,0.34,0.8,0.563,0.108,0.516,0.572,104.8,101.0,84.17,102,0.585,2019-20,102.1,108.0,116.6,118.6,-14.5,-10.6,0.692,2.08,19.7,0.2,0.66,0.437,0.13,0.494,0.547,104.8,101.0,84.17,100,0.415,2019-20
Denver Nuggets,Los Angeles Lakers,108,114,L,117.2,120.0,120.8,125.3,-3.5,-5.3,0.564,2.0,18.0,0.25,0.596,0.437,0.122,0.571,0.62,93.3,90.5,75.42,90,0.468,2019-20,120.8,125.3,117.2,120.0,3.5,5.3,0.605,2.09,17.3,0.404,0.75,0.563,0.121,0.538,0.597,93.3,90.5,75.42,91,0.532,2019-20
